Player,Salary,salary_per_cap
Luguentz Dort,1782621.0,0.01585764228654794
Miye Oni,1782621.0,0.01585764228654794
Isaiah Roby,1782621.0,0.01585764228654794
Naz Reid,1782621.0,0.01585764228654794
Jaylen Nowell,1782621.0,0.01585764228654794
Vlatko Čančar,1782621.0,0.01585764228654794
Dean Wade,1782621.0,0.01585764228654794
Jalen McDaniels,1782621.0,0.01585764228654794
Drew Eubanks,1762796.0,0.01568128524916825
Chimezie Metu,1762796.0,0.01568128524916825
Yuta Watanabe,1762769.0,0.015681045065561228
Svi Mykhailiuk,1729217.0,0.015382576903232694
Keita Bates-Diop,1729217.0,0.015382576903232694
Moritz Wagner,1729217.0,0.015382576903232694
Thanasis Antetokounmpo,1729217.0,0.015382576903232694
Isaac Bonga,1729217.0,0.015382576903232694
Wayne Selden,1729217.0,0.015382576903232694
Isaiah Hartenstein,3430810.0,0.03051941928941235
Brad Wanamaker,1729217.0,0.015382576903232694
Alize Johnson,1729217.0,0.015382576903232694
Juan Toscano-Anderson,1701593.0,0.015136842386179657
Oshae Brissett,1701593.0,0.015136842386179657
Kelan Martin,1701593.0,0.015136842386179657
Moses Brown,1701593.0,0.015136842386179657
Isaiah Hartenstein,3430810.0,0.03051941928941235
Herb Jones,1700000.0,0.01512267155336524
Jordan McLaughlin,1669178.0,0.014848488622413579
Javonte Green,1669178.0,0.014848488622413579
Max Strus,1669178.0,0.014848488622413579
Gabe Vincent,1669178.0,0.014848488622413579
Kevin Pangos,1669178.0,0.014848488622413579
Matt Thomas,1669178.0,0.014848488622413579
Xavier Tillman Sr.,1517981.0,0.013503487110146423
Vernon Carey Jr.,1517981.0,0.013503487110146423
Robert Woodard,1517981.0,0.013503487110146423
Elijah Hughes,1517981.0,0.013503487110146423
Tre Jones,1517981.0,0.013503487110146423
Jahmi'us Ramsey,1517981.0,0.013503487110146423
CJ Elleby,1517981.0,0.013503487110146423
Isaiah Joe,1517981.0,0.013503487110146423
Naji Marshall,1517981.0,0.013503487110146423
Jordan Nwora,1517981.0,0.013503487110146423
Nick Richards,1517981.0,0.013503487110146423
Sam Merrill,1517981.0,0.013503487110146423
Anthony Gill,1517981.0,0.013503487110146423
Paul Reed,1517981.0,0.013503487110146423
Kenyon Martin Jr.,1517981.0,0.013503487110146423
Jae'Sean Tate,1517981.0,0.013503487110146423
Lamar Stevens,1517981.0,0.013503487110146423
Isaiah Todd,1500000.0,0.013343533723557564
Saben Lee,1489065.0,0.01324625936271283
Omer Yurtseven,1489065.0,0.01324625936271283
Armoni Brooks,1489065.0,0.01324625936271283
Jaylen Morris,1489065.0,0.01324625936271283
J.R. Smith,1456666.0,0.012958047929973135
Gary Clark,3382007.0,0.03008528297187183
George Hill,4000000.0,0.0355827565961535
DeMarre Carroll,1252127.0,0.011138532567117975
JT Thor,1250000.0,0.01111961143629797
Jason Preston,1062303.0,0.009449917270090914
Isaiah Livers,1057260.0,0.009405056309712313
Guerschon Yabusele,1039080.0,0.009243332680982796
Kyle Singler,999200.0,0.008888572597719146
Jared Butler,925258.0,0.008230807550660949
Greg Brown III,925258.0,0.008230807550660949
Miles McBride,925258.0,0.008230807550660949
Brandon Boston Jr.,925258.0,0.008230807550660949
Marko Simonovic,925258.0,0.008230807550660949
Vit Krejci,925258.0,0.008230807550660949
Charles Bassey,925258.0,0.008230807550660949
Dalano Banton,925258.0,0.008230807550660949
Jock Landale,925258.0,0.008230807550660949
Ayo Dosunmu,925258.0,0.008230807550660949
Denzel Mahoney,925258.0,0.008230807550660949
Austin Reaves,925258.0,0.008230807550660949
Luka Garza,925258.0,0.008230807550660949
Shaun Livingston,666666.0,0.005930453502232818
Georgios Kalaitzakis,462629.0,0.004115403775330474
Sam Dekker,350000.0,0.0031134912021634317
Ish Wainright,0.0,0.0
Troy Williams,122741.0,0.0010918657818421193
Jabari Parker,2239544.0,0.019922287259594
Demetrius Jackson,92857.0,0.0008260270073122565
