Player,G,WS,BPM,VORP
Jeremiah Robinson-Earl,24.0,0.7,-3.4,-0.2
Isaiah Roby,12.0,0.5,-0.6,0.1
Rajon Rondo,14.0,-0.1,-5.2,-0.2
Derrick Rose,22.0,1.3,2.3,0.6
Terrence Ross,25.0,-0.1,-5.4,-0.5
Terry Rozier,19.0,1.0,0.4,0.4
Ricky Rubio,26.0,1.2,-1.1,0.2
D'Angelo Russell,21.0,1.2,1.0,0.5
Domantas Sabonis,27.0,3.8,3.8,1.3
Tomáš Satoranský,22.0,-0.1,-6.9,-0.4
Dennis Schröder,25.0,1.7,-1.8,0.0
Jay Scrubb,7.0,0.1,-3.3,0.0
Wayne Selden,1.0,0.0,-11.6,0.0
Alperen Şengün,23.0,1.2,1.3,0.3
Collin Sexton,11.0,0.1,-5.1,-0.2
Landry Shamet,23.0,1.0,-1.0,0.1
Day'Ron Sharpe,8.0,0.0,-4.6,0.0
Pascal Siakam,14.0,1.3,1.4,0.4
Marko Simonovic,2.0,0.0,-17.9,0.0
Anfernee Simons,22.0,0.8,-0.7,0.2
Jericho Sims,9.0,0.2,1.1,0.0
Javonte Smart,3.0,0.2,-0.4,0.0
Marcus Smart,25.0,1.6,-0.7,0.3
Dennis Smith Jr.,15.0,0.2,-1.2,0.1
Ish Smith,18.0,-0.2,-6.1,-0.3
Jalen Smith,7.0,0.2,0.0,0.0
Tony Snell,20.0,-0.1,-5.3,-0.2
Jaden Springer,1.0,0.0,-10.4,0.0
Lamar Stevens,16.0,0.1,-4.5,-0.1
Isaiah Stewart,22.0,1.2,-2.9,-0.1
Max Strus,19.0,0.9,0.6,0.2
Jalen Suggs,21.0,-1.1,-6.8,-0.7
Jae'Sean Tate,24.0,1.4,-1.6,0.1
Jayson Tatum,26.0,2.0,1.2,0.8
Garrett Temple,25.0,0.5,-2.6,-0.1
Daniel Theis,17.0,0.6,-3.2,-0.1
Brodric Thomas,2.0,0.0,-20.7,0.0
Cameron Thomas,18.0,0.1,-3.9,-0.1
Matt Thomas,8.0,-0.1,-8.2,-0.1
Tristan Thompson,17.0,0.7,-1.6,0.0
JT Thor,5.0,0.1,-4.0,0.0
Matisse Thybulle,19.0,0.7,0.2,0.3
Killian Tillie,12.0,0.1,-4.4,-0.1
Xavier Tillman Sr.,19.0,0.6,0.7,0.2
Isaiah Todd,4.0,0.0,10.4,0.0
Obi Toppin,25.0,1.2,0.8,0.3
Juan Toscano-Anderson,24.0,1.2,0.6,0.3
Karl-Anthony Towns,24.0,3.3,4.6,1.4
Gary Trent Jr.,23.0,1.9,0.6,0.5
P.J. Tucker,26.0,1.9,0.6,0.5
Myles Turner,26.0,2.7,2.8,0.9
Jonas Valančiūnas,27.0,2.9,2.1,0.9
Denzel Valentine,16.0,-0.1,-6.1,-0.1
Jarred Vanderbilt,24.0,1.8,-0.2,0.3
Fred VanVleet,24.0,2.2,1.9,0.9
Devin Vassell,19.0,1.1,0.2,0.3
Gabe Vincent,23.0,0.8,-1.6,0.0
Nikola Vučević,19.0,1.1,0.0,0.3
Dean Wade,17.0,0.8,-0.9,0.1
Franz Wagner,26.0,1.3,-1.0,0.2
Moritz Wagner,24.0,0.4,-2.2,0.0
Ish Wainright,6.0,-0.1,-12.9,-0.1
Kemba Walker,18.0,0.9,1.0,0.3
Lonnie Walker,24.0,0.3,-3.6,-0.2
Brad Wanamaker,15.0,0.1,-5.5,-0.2
Duane Washington Jr.,3.0,0.0,-4.0,0.0
P.J. Washington,15.0,0.7,0.0,0.2
Yuta Watanabe,6.0,0.2,0.5,0.1
Trendon Watford,5.0,0.0,-2.2,0.0
Paul Watson,4.0,-0.2,-11.4,-0.2
Russell Westbrook,26.0,1.3,-0.8,0.3
Coby White,9.0,-0.2,-8.4,-0.3
Derrick White,24.0,1.6,0.1,0.4
Hassan Whiteside,23.0,1.6,-0.7,0.1
