Player,Salary,salary_per_cap,G,WS,BPM,VORP,TS%,PER,Year
Alexey Shved,3198723.0,0.05072104971061603,42.0,2.2,2.9,0.9,0.541,19.5,2015
Markieff Morris,3153860.0,0.05000967256005708,82.0,4.6,-0.3,1.1,0.523,15.8,2015
Quincy Pondexter,3146068.0,0.04988611749781971,75.0,2.9,-2.1,0.0,0.55,9.9,2015
Quincy Pondexter,3146068.0,0.04988611749781971,30.0,0.6,-3.9,-0.3,0.452,7.1,2015
Quincy Pondexter,3146068.0,0.04988611749781971,45.0,2.3,-1.3,0.2,0.592,11.1,2015
Dorell Wright,3145000.0,0.049869182589391894,48.0,1.6,1.8,0.6,0.525,13.4,2015
Chris Copeland,3130000.0,0.04963133275192262,50.0,-0.1,-3.7,-0.4,0.468,7.4,2015
Marcus Morris,3105301.0,0.0492396892095457,81.0,4.0,0.1,1.1,0.52,13.7,2015
Joel Freeland,3100000.0,0.04915563307698406,48.0,1.6,-2.6,-0.1,0.522,12.2,2015
Klay Thompson,3075880.0,0.048773170538333466,77.0,8.8,4.4,4.0,0.591,20.8,2015
Kawhi Leonard,3053368.0,0.04841620550225957,64.0,8.6,5.9,4.1,0.567,22.0,2015
Harrison Barnes,3049920.0,0.0483615317529533,82.0,6.7,0.1,1.2,0.573,13.4,2015
Ben McLemore,3026280.0,0.04798668040910172,82.0,2.5,-2.2,-0.2,0.552,10.4,2015
Mike Dunleavy,3000000.0,0.047569967493855544,63.0,4.1,0.0,0.9,0.573,11.6,2015
Randy Foye,3000000.0,0.047569967493855544,50.0,1.0,-1.2,0.2,0.51,11.0,2015
Anthony Tolliver,3000000.0,0.047569967493855544,76.0,2.7,-1.4,0.2,0.569,11.1,2015
Anthony Tolliver,3000000.0,0.047569967493855544,52.0,2.5,-1.1,0.3,0.58,11.8,2015
Kosta Koufos,3000000.0,0.047569967493855544,81.0,3.3,-1.2,0.2,0.53,14.2,2015
Jerryd Bayless,3000000.0,0.047569967493855544,77.0,2.4,-2.1,0.0,0.519,11.1,2015
Nikola Vucevic,2902757.0,0.04602801871085388,74.0,7.0,0.9,1.8,0.548,21.5,2015
Marco Belinelli,2873750.0,0.04556806469515579,62.0,2.9,-1.0,0.4,0.553,12.4,2015
Furkan Aldemir,2810305.0,0.044562039165939905,41.0,1.4,-3.6,-0.2,0.517,12.0,2015
Terrence Ross,2793960.0,0.044302862126377546,82.0,2.4,-1.4,0.3,0.519,11.2,2015
Kentavious Caldwell-Pope,2772480.0,0.04396226115912154,82.0,2.8,-1.7,0.2,0.501,11.2,2015
Iman Shumpert,2761113.0,0.043782018552287326,62.0,1.5,-0.9,0.4,0.497,11.4,2015
Iman Shumpert,2761113.0,0.043782018552287326,38.0,1.2,-0.1,0.4,0.508,11.1,2015
Luke Ridnour,2750000.0,0.04360580353603425,47.0,0.6,-3.3,-0.2,0.507,10.0,2015
