Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Malcolm Brogdon,PG,29,IND,21,21,746,153,338,.453,39,126,.310,114,212,.538,.510,85,97,.876,21,100,121,130,17,11,50,45,430,19.7,.565,.373,.287,3.1,14.5,8.9,27.5,1.1,1.3,11.6,25.1,0.0,1.8,0.6,2.4,.153,0.0,3.7,-0.3,3.4,1.0
Armoni Brooks,SG,23,HOU,19,0,246,34,94,.362,26,78,.333,8,16,.500,.500,7,8,.875,5,22,27,14,11,3,4,24,101,11.4,.518,.830,.085,2.2,9.4,5.8,8.8,2.1,1.1,3.9,17.4,0.0,0.2,0.2,0.4,.076,0.0,-1.7,-0.3,-2.0,0.0
Dillon Brooks,SF,26,MEM,11,10,287,70,171,.409,18,55,.327,52,116,.448,.462,32,35,.914,8,28,36,31,15,2,26,38,190,14.9,.510,.322,.205,2.9,10.5,6.7,17.3,2.5,0.6,12.2,31.0,0.0,0.0,0.2,0.2,.037,0.0,-1.7,-2.0,-3.7,-0.1
Bruce Brown,SF,25,BRK,21,14,476,60,133,.451,7,23,.304,53,110,.482,.477,9,13,.692,25,62,87,24,26,10,13,51,136,10.9,.490,.173,.098,5.8,13.1,9.6,7.1,2.6,1.9,8.6,14.1,0.0,0.1,0.7,0.8,.085,0.0,-3.5,1.1,-2.4,0.0
Greg Brown III,SF,20,POR,11,0,51,7,20,.350,0,4,.000,7,16,.438,.350,2,7,.286,5,9,14,5,2,4,2,7,16,10.8,.347,.200,.350,10.7,19.8,15.1,14.1,1.9,7.4,8.0,21.4,0.0,-0.1,0.1,0.0,-0.030,0.0,-4.7,0.3,-4.4,0.0
Jaylen Brown,SF,25,BOS,13,13,426,101,218,.463,31,85,.365,70,133,.526,.534,45,59,.763,6,62,68,29,14,6,31,35,278,17.5,.570,.390,.271,1.5,15.7,8.6,12.1,1.6,1.3,11.3,28.4,0.0,0.3,0.5,0.8,.092,0.0,1.8,-0.8,0.9,0.3
Moses Brown,C,22,DAL,9,1,34,5,6,.833,0,0,0.0,5,6,.833,.833,5,10,.500,2,7,9,0,1,2,4,7,15,13.8,.721,.000,1.667,6.0,23.4,14.2,0.0,1.5,5.2,27.8,18.8,0.0,0.0,0.1,0.1,.079,0.0,-7.3,0.2,-7.0,0.0
Sterling Brown,SG,26,DAL,20,0,256,22,62,.355,11,40,.275,11,22,.500,.444,4,4,1.000,14,50,64,15,9,3,14,24,59,8.0,.463,.645,.065,5.6,22.2,13.5,8.2,1.8,1.0,18.0,13.5,0.0,-0.2,0.3,0.1,.023,0.0,-4.1,-0.5,-4.6,-0.2
Troy Brown Jr.,SF,22,CHI,16,0,169,23,54,.426,8,24,.333,15,30,.500,.500,7,11,.636,6,31,37,10,3,0,5,12,61,11.0,.518,.444,.204,3.9,19.8,11.9,8.2,0.9,0.0,7.8,16.6,0.0,0.1,0.2,0.3,.082,0.0,-1.8,-1.6,-3.4,-0.1
Jalen Brunson,PG,25,DAL,22,6,636,127,259,.490,23,68,.338,104,191,.545,.535,42,53,.792,12,71,83,107,17,1,32,41,319,17.8,.565,.263,.205,1.9,12.7,7.0,27.9,1.3,0.1,10.2,22.0,0.0,1.3,0.4,1.7,.132,0.0,1.3,-0.9,0.4,0.4
Reggie Bullock,SF,30,DAL,22,6,514,46,135,.341,25,97,.258,21,38,.553,.433,5,8,.625,5,55,60,13,6,2,14,31,122,3.9,.440,.719,.059,1.0,12.2,6.3,3.5,0.6,0.3,9.2,13.2,0.0,-0.5,0.2,-0.3,-0.028,0.0,-5.0,-2.6,-7.6,-0.7
Trey Burke,PG,29,DAL,13,0,141,31,68,.456,10,24,.417,21,44,.477,.529,10,11,.909,0,9,9,18,5,0,12,9,82,15.3,.563,.353,.162,0.0,7.3,3.4,21.9,1.8,0.0,14.1,26.8,0.0,0.1,0.1,0.2,.054,0.0,0.0,-1.7,-1.7,0.0
Alec Burks,SG,30,NYK,24,5,592,86,207,.415,51,117,.436,35,90,.389,.539,56,68,.824,9,84,93,49,28,7,18,50,279,16.8,.589,.565,.329,1.6,15.1,8.3,12.6,2.4,1.1,7.1,18.9,0.0,1.3,0.6,1.9,.156,0.0,1.3,0.9,2.2,0.6
Jared Butler,SG,21,UTA,14,0,65,8,28,.286,4,16,.250,4,12,.333,.357,4,7,.571,0,7,7,7,2,6,7,13,24,3.9,.386,.571,.250,0.0,11.2,5.9,14.8,1.5,7.8,18.4,25.5,0.0,-0.2,0.1,-0.1,-0.094,0.0,-8.5,1.2,-7.3,-0.1
Jimmy Butler,SF,32,MIA,18,18,607,139,273,.509,6,31,.194,133,242,.550,.520,127,149,.852,29,75,104,94,39,5,35,29,411,27.1,.607,.114,.546,5.4,13.7,9.6,26.7,3.2,0.9,9.4,27.3,0.0,2.5,0.9,3.4,.270,0.0,5.5,2.9,8.5,1.6
Devontae Cacok,PF,25,SAS,1,0,2,1,1,1.000,0,0,0.0,1,1,1.000,1.000,0,0,0.0,1,1,2,1,0,0,0,0,2,80.2,1.000,.000,.000,52.3,53.1,52.7,100.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.0,1.132,0.0,45.6,13.8,59.3,0.0
Kentavious Caldwell-Pope,SG,28,WAS,25,25,725,99,229,.432,52,129,.403,47,100,.470,.546,34,38,.895,15,74,89,42,33,8,31,47,284,12.9,.578,.563,.166,2.3,10.6,6.6,8.6,2.3,0.9,11.2,17.1,0.0,0.6,0.7,1.3,.089,0.0,-0.6,0.8,0.1,0.4
Facundo Campazzo,PG,30,DEN,22,0,414,41,101,.406,24,63,.381,17,38,.447,.525,17,21,.810,8,30,38,55,20,5,25,41,123,11.0,.558,.624,.208,2.1,8.0,5.1,18.2,2.4,1.1,18.5,14.7,0.0,0.3,0.4,0.7,.080,0.0,-2.5,0.5,-2.0,0.0
Vlatko Čančar,PF,24,DEN,5,0,27,4,8,.500,3,3,1.000,1,5,.200,.688,3,4,.750,1,1,2,4,1,0,2,3,14,19.0,.717,.375,.500,4.1,4.1,4.1,21.8,1.9,0.0,17.0,19.6,0.0,0.1,0.0,0.1,.202,0.0,2.7,-0.6,2.1,0.0
Clint Capela,C,27,ATL,25,25,747,127,223,.570,0,1,.000,127,222,.572,.570,31,61,.508,101,216,317,33,22,36,16,61,285,21.1,.570,.004,.274,14.8,30.3,22.7,6.4,1.5,4.4,6.0,15.6,0.0,2.0,1.0,3.0,.194,0.0,1.5,-0.3,1.3,0.6
